week;mca_psv;id
32,71428571;60,7;17
33,71428571;60,9;21
33,57142857;73,8;18
33,42857143;32,8;16
37;49,31;19
31,85714286;33,73;16
24,42857143;28,84;6
28,71428571;38,24;22
36,71428571;45,33;20
27,71428571;44,26;18
20;27,8;16
33,85714286;54,9;19
32;33,45;8
24,42857143;61,62;20
32,57142857;44,93;16
20,28571429;15,63;14
20,42857143;23,86;17
25,57142857;31;13
33;62,11;22
34;67,66;19
24,71428571;24,08;19
19,57142857;22,13;16
20,14285714;20,72;22
20,14285714;26,42;18
20,71428571;24,65;17
20,28571429;24,3;14
40,14285714;54,5;21
22,42857143;24;19
33,28571429;55,32;20
21;29,3;28
20;17,51;23
20,85714286;23,22;7
20,28571429;26,78;17
20,57142857;30,01;21
20,14285714;26,8;5
37,85714286;53,5;20
20,57142857;23,58;16
20,85714286;17,11;8
32,28571429;39,1;21
26,28571429;39,1;16
21,57142857;23,4;18
20,28571429;21,3;21
27,71428571;47,9;NA
34,71428571;35,9;20
19,71428571;19;19
21;19;18
25,85714286;30,1;20
24,42857143;31,8;20
19,14285714;29;16
32,28571429;42,85;11
20,71428571;19,65;13
20,42857143;27,85;12
20,85714286;23,03;7
22;23,66;8
33,57142857;28;24
38,28571429;68,75;23
29,42857143;37,41;18
32,57142857;38,57;19
32,42857143;41,24;20
32,42857143;47,14;20
20,28571429;25,73;9
32,71428571;44,28;20
32,85714286;48,56;21
20,28571429;23,94;9
33,14285714;40,71;3
20,28571429;23,2;18
31,85714286;37,8;10
36,42857143;42,48;12
35,71428571;66,6;20
32,42857143;44,46;17
33,42857143;51,42;25
20,28571429;20,28;15
32,42857143;44,28;21
20,57142857;22,51;19
20;24,65;19
20,14285714;20;22
29;44,46;18
28,14285714;30,08;17
20,57142857;24,52;10
20,57142857;22,13;22
32,14285714;35,37;19
32;34,48;9
33;47,67;22
20;18,05;21
33,85714286;60,96;15
32;42,23;21
20,14285714;22,48;17
32,85714286;51,42;24
20;21,28;33
32,71428571;29,26;18
26,71428571;36,42;15
32,85714286;45,53;23
32,28571429;55,32;9
32,57142857;51,75;28
20,42857143;22,61;15
32;36,73;20
32,28571429;24,3;10
22,14285714;26,52;17
32;37,29;21
32;50,83;10
31,85714286;46,65;20
20;19,58;13
20,28571429;19,24;12
20,42857143;27,41;27
19,85714286;22,99;18
32,42857143;44,46;19
33,28571429;37,8;10
37;60,7;20
27,28571429;34,21;20
34,42857143;49,2;10
28,28571429;34,59;13
25,57142857;26;18
23,71428571;24,98;19
30,85714286;48,12;19
38;44,47;20
31,85714286;49,28;15
20,71428571;29,16;6
20,42857143;20,37;14
21,14285714;25,35;11
24,57142857;33,52;21
34,85714286;53;17
27,42857143;39,96;14
28,28571429;37,6;11
31,71428571;41,25;20
33,57142857;22,81;22
33,57142857;35,49;2
21,28571429;24,52;12
21;22,99;17
33,42857143;49,38;15
33,71428571;42,4;21
33,28571429;47,69;15
20,85714286;22,41;11
20,28571429;20,6;12
32,14285714;48,87;23
21;18,22;20
28,71428571;25,88;20
32;50,47;21
33,14285714;32,69;18
33,57142857;49,38;17
24,42857143;34,91;12
21;31,84;20
20,42857143;20,65;11
20,71428571;28,55;16
33,57142857;48,7;12
20,42857143;17,5;17
33,71428571;37,77;11
33,71428571;61,67;15
33,28571429;54,04;16
23,28571429;26,9;18
32,14285714;32,4;17
20,28571429;18,21;23
33;42,74;18
31,14285714;47,94;13
27,57142857;42,3;16
33,28571429;36,65;27
20,71428571;24,35;16
33,71428571;30,59;29
33;50,81;21
33,42857143;49,04;8
33,28571429;59,25;16
27;32,12;18
27;38,49;18
32,28571429;39,3;27
23;26,83;13
20,28571429;26,41;18
36,85714286;48;10
19,85714286;21,76;16
20,42857143;23,03;23
20,28571429;21,97;22
23,14285714;22,56;15
32;40,17;28
32,28571429;42,16;14
32,71428571;49,31;23
32;41,09;19
32;39,3;23
20,85714286;22,82;8
27,42857143;24,44;8
19,85714286;19,44;16
20,57142857;15,85;17
32,28571429;49,31;12
32,71428571;57,04;14
19,85714286;18,38;21
20,28571429;25,78;13
32,85714286;58,92;27
32,57142857;49,31;8
20;25,14;23
20,57142857;22,82;13
32,57142857;34,66;22
34,14285714;54,8;19
32,42857143;42,43;23
31,57142857;56,53;20
31,71428571;45,88;16
37,28571429;36,32;10
32,71428571;46,65;14
32;36,44;24
32,42857143;39,33;16
20,42857143;20,01;27
20,57142857;20,21;10
20,57142857;21,17;20
28,14285714;31,39;21
32,14285714;43,24;13
24,14285714;19,8;20
37;74,92;14
34,14285714;46,96;22
33,85714286;58,49;14
26,14285714;25,44;16
20,42857143;20,31;19
20;27,95;27
20,28571429;18,05;19
32,28571429;40,01;21
20,57142857;23,34;18
32,14285714;47,33;21
32,85714286;32,2;30
33,57142857;52,44;20
20,71428571;22,82;9
23,57142857;16,11;14
32,42857143;33,46;20
36,71428571;50,52;18
28;30,18;19
38,85714286;50,5;10
28,14285714;29,3;20
40,14285714;70,6;19
39,14285714;44,6;24
40;57,6;25
38,42857143;44,1;18
40,28571429;62,7;20
40,28571429;59,3;15
39;53;22
39,42857143;65,1;9
39,42857143;77,9;9
37,14285714;55,7;19
29,14285714;27,42;21
25,57142857;33,52;10
20,42857143;22,69;6
20,28571429;30,01;19
21;24,93;20
35,71428571;55;19
33;44,3;18
33,42857143;53,59;15
33,42857143;48,74;18
33,28571429;42,16;21
33,71428571;31,8;17
